Date,S&P 500 Price,S&P 500 Open,S&P 500 High,S&P 500 Low,S&P 500 Change %,10 Year Bond Price,10 Year Bond Open,10 Year Bond High,10 Year Bond Low,10 Year Bond Change %,2 Year Bond Price,2 Year Bond Open,2 Year Bond High,2 Year Bond Low,2 Year Bond Change %,US Inflation,US GDP,US Insterest,Global Inflation Rate,Global GDP,S&P 500 High - Price,S&P 500 Price -Low,S&P 500 High- Low,S&P 500 High - Open,S&P 500 Open - Low,10 Year Bond High - Price,10 Year Bond Price -Low,10 Year Bond High - Low,10 Year Bond High - Open,10 Year Bond Open - Low,2 Year Bond High - Price,2 Year Bond Price -Low,2 Year Bond High - Low,2 Year Bond High - Open,2 Year Bond Open - Low
10/6/2022,3744.52,3771.97,3797.93,3739.22,-0.0102,3.818,3.818,3.818,3.733,0.0178,4.2433,4.1502,4.2496,4.1357,0.0224,6.100359,25248.48,3.13,10.25359,95000,53.41,5.3,58.71,25.96,32.75,0,0.085,0.085,0,0.085,0.0063,0.1076,0.1139,0.0994,0.0145
10/5/2022,3783.28,3753.25,3806.91,3722.66,-0.002,3.751,3.629,3.789,3.619,0.0319,4.1502,4.0884,4.1998,4.0778,0.0131,6.100359,25248.48,3.13,10.25359,95000,23.63,60.62,84.25,53.66,30.59,0.038,0.132,0.17,0.16,0.01,0.0496,0.0724,0.122,0.1114,0.0106
10/4/2022,3790.93,3726.46,3791.92,3726.46,0.0306,3.635,3.615,3.659,3.562,-0.0021,4.0967,4.087,4.115,3.996,-0.0041,6.100359,25248.48,3.13,10.25359,95000,0.99,64.47,65.46,65.46,0,0.024,0.073,0.097,0.044,0.053,0.0183,0.1007,0.119,0.028,0.091
10/3/2022,3678.43,3609.78,3698.35,3604.93,0.0259,3.643,3.813,3.819,3.568,-0.0441,4.1134,4.235,4.24,4.031,-0.0288,6.100359,25248.48,3.13,10.25359,95000,19.92,73.5,93.42,88.57,4.85,0.176,0.075,0.251,0.006,0.245,0.1266,0.0824,0.209,0.005,0.204
9/30/2022,3585.62,3633.48,3671.44,3584.13,-0.0151,3.81,3.813,3.813,3.81,-0.0047,4.2354,4.2354,4.2354,4.2354,-0.0087,7.095109,25248.48,2.24,10.25359,95000,85.82,1.49,87.31,37.96,49.35,0.003,0,0.003,0,0.003,0,0,0,0,0
9/29/2022,3640.47,3687.01,3687.01,3610.4,-0.0211,3.829,3.783,3.843,3.682,0.0125,4.2726,4.203,4.287,4.134,0.0191,7.095109,25248.48,2.24,10.25359,95000,46.54,30.07,76.61,0,76.61,0.014,0.147,0.161,0.06,0.101,0.0144,0.1386,0.153,0.084,0.069
9/28/2022,3719.04,3651.94,3736.74,3640.61,0.0197,3.782,3.753,3.868,3.721,0.0119,4.1924,4.149,4.24,4.129,0.0159,7.095109,25248.48,2.24,10.25359,95000,17.7,78.43,96.13,84.8,11.33,0.086,0.061,0.147,0.115,0.032,0.0476,0.0634,0.111,0.091,0.02
9/27/2022,3647.29,3686.44,3717.53,3623.29,-0.0021,3.737,3.947,4.019,3.695,-0.0537,4.1267,4.277,4.316,4.08,-0.0374,7.095109,25248.48,2.24,10.25359,95000,70.24,24,94.24,31.09,63.15,0.282,0.042,0.324,0.072,0.252,0.1893,0.0467,0.236,0.039,0.197
9/26/2022,3655.04,3682.72,3715.67,3644.76,-0.0103,3.949,3.912,3.992,3.801,0.0053,4.2871,4.33,4.337,4.203,-0.0133,7.095109,25248.48,2.24,10.25359,95000,60.63,10.28,70.91,32.95,37.96,0.043,0.148,0.191,0.08,0.111,0.0499,0.0841,0.134,0.007,0.127
9/23/2022,3693.23,3727.14,3727.14,3647.47,-0.0172,3.928,3.734,3.933,3.714,0.0508,4.345,4.251,4.36,4.211,0.0217,7.095109,25248.48,2.24,10.25359,95000,33.91,45.76,79.67,0,79.67,0.005,0.214,0.219,0.199,0.02,0.015,0.134,0.149,0.109,0.04
